en,de,description,file,hash
"Click to load a new captcha","Bitte anklicken, um ein neues Captcha zu laden",,site/modules/FrontendForms/Formelements/Captcha/AbstractCaptcha.php,b52dc33684da9e3d394738b7d0dd2725
"Reload image","Bild neu laden",,site/modules/FrontendForms/Formelements/Captcha/AbstractCaptcha.php,7c89feb583d9e778c3533017b111263d
Captcha,=,,site/modules/FrontendForms/Formelements/Captcha/AbstractCaptcha.php,45d048c35e3cfd449dc0a1b503cd103a
"Please select what you see in the image above.","Bitte wählen Sie aus, was sie im Bild oberhalb sehen.",,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,118f3464042a036c52a1087e923a307e
Animal,Tier,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,161e7ce7bfdc89ab4b9f52c1d4c94212
Car,Auto,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,e9989db5dabeea617f40c8dbfd07f5fb
Flower,Blume,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,338d1f8007f0c84287d9963d5ea36aeb
House,Haus,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,aebfe46795575772b7cf413e25caeab9
Lake,See,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,bc03219e367d3a4b7b1758c8af598174
Mountain,Berg,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,ec9903c79dd510ffa43f69ee867a9002
Tree,Baum,,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,3b0c14770e6bd663518496da60f524da
"CAPTCHA field for SPAM protection","CAPTCHA als SPAM-Schutz",,site/modules/FrontendForms/Formelements/Captcha/AbstractImageCaptcha.php,2caf429ed0a858c9cb2b6456d1914fe1
"I am a human","Ich bin ein Mensch",,site/modules/FrontendForms/Formelements/Captcha/AbstractSliderCaptcha.php,da1e1af671e5b51f10c9fe3f494fbb3f
"This file is not a TrueType font file.","Diese Datei ist keine TrueType Schriftart Datei.",,site/modules/FrontendForms/Formelements/Captcha/AbstractTextCaptcha.php,ad1ca00ca558c196b2ffa224309706e4
"This file does not exist under the specified path","Diese Datei existiert nicht unter dem angegebenen Pfad",,site/modules/FrontendForms/Formelements/Captcha/AbstractTextCaptcha.php,d472945618bae0b84ca5082c7d916966
"Captcha field for security","CAPTCHA Sicherheitsabfrage",,site/modules/FrontendForms/Formelements/Captcha/AbstractTextCaptcha.php,f985413aacdc4d6e125cd3b6fb2a3eae
Send,Senden,,site/modules/FrontendForms/Formelements/Miscellaneous/Button.php,94966d90747b97d1f0f206c98a8b1ac3
"Image captcha","Bild CAPTCHA",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultImageCaptcha.php,1e27db1c7a9a959ca4cd75964525fa2d
"Assign the image to a category","Ordnen sie das Bild einer Kategorie zu",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultImageCaptcha.php,5972e22698d0e9faba6397ce1b6b6f74
"Random string captcha","Zufallstext Captcha",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultTextCaptcha.php,7c62e8d4b13ecc03f28bb44905a5ec51
"Enter the text from the image in the input field.","Geben Sie den Text aus dem Bild in das Eingabefeld ein.",,site/modules/FrontendForms/Formelements/Captcha/variants/DefaultTextCaptcha.php,3c6c9439c3e38d0da29b7629a300c3c5
"Invalid IP address.","Ungültige IP-Adresse.",,site/modules/FrontendForms/detail-view.php,f205af72fc73d929c2b095bb1f05b692
"More information about %s","Zusätzliche Informationen über %s",,site/modules/FrontendForms/detail-view.php,77c41ffdf7bebe6e2f1896cf8ae78a73
"Geo location","Geographischer Standort",,site/modules/FrontendForms/detail-view.php,0f66316eff804ffa836d2214d80f3756
Country,Land,,site/modules/FrontendForms/detail-view.php,59716c97497eb9694541f7c3d37b1a4d
Region,=,,site/modules/FrontendForms/detail-view.php,f447ac856e7e72435904956e3b15f433
City,Stadt,,site/modules/FrontendForms/detail-view.php,57d056ed0984166336b7879c2af3657f
"We are sorry, but ip-api.com does not have any information about this IP address.","Es tut uns leid, aber ip-api.com hat keine Informationen über diese IP-Adresse.",,site/modules/FrontendForms/detail-view.php,ac598c39fd0d78fb3eff40b3a5b5cbbd
Email,E-Mail,,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Email.php,ce8ae9da5b7cd6c3df2929543a9af92d
"contains non-ascii characters.","enthält Nicht-ASCII-Zeichen.",,site/modules/FrontendForms/valitron/errormessages.php,2e6530ea732a56c9eed09d995a64be55
"is required.","ist erforderlich.",,site/modules/FrontendForms/valitron/errormessages.php,ee66f9c9930cb33d2a5dde9b240d3f7e
"must be the same as %s.","muss mit %s identisch sein.",,site/modules/FrontendForms/valitron/errormessages.php,c3e99e59b3b51e343792bdf6ce436df9
"must be different than %s.","muss sich von %s unterscheiden.",,site/modules/FrontendForms/valitron/errormessages.php,61cfe2e511129ea95796b676de390540
"must be accepted.","muss akzeptiert werden.",,site/modules/FrontendForms/valitron/errormessages.php,5ff975f896afc1a3d44f7e5cf2523562
"must be numeric.","muss numerisch sein.",,site/modules/FrontendForms/valitron/errormessages.php,75872da653850e5b56523af104ac02ad
"must be an integer.","muss eine Ganzzahl sein.",,site/modules/FrontendForms/valitron/errormessages.php,81495f3842f92cd64795702e235405e6
"must be %s characters long.","muss %s Zeichen lang sein.",,site/modules/FrontendForms/valitron/errormessages.php,f87f5f2581a89c78c83ac7f3aed4f44d
"must be at least %s.","muss größer als %s sein.",,site/modules/FrontendForms/valitron/errormessages.php,b51bf268215336cb80ace35cff438844
"must be no more than %s.","muss kleiner als %s sein.",,site/modules/FrontendForms/valitron/errormessages.php,0691a08af1a152688286eb8add501c7a
"contains invalid value.","enthält einen ungültigen Wert.",,site/modules/FrontendForms/valitron/errormessages.php,803beb393544dd8a3ab29e2691b80f30
"is not a valid IP address.","ist keine gültige IP-Adresse.",,site/modules/FrontendForms/valitron/errormessages.php,f67e06439cbd618893452c020dbc1f84
"is not a valid IPv4 address.","ist keine gültige IPv4-Adresse.",,site/modules/FrontendForms/valitron/errormessages.php,1217bb805238358651e226239f031863
"is not a valid IPv6 address.","ist keine gültige IPv6-Adresse.",,site/modules/FrontendForms/valitron/errormessages.php,58f0671d229a1a23c95be8cc20636dc9
"is not a valid email address.","ist keine gültige E-Mail-Adresse.",,site/modules/FrontendForms/valitron/errormessages.php,89d61ec4bae366d43110c39f661a67e7
"is not a valid email address, because an active DNS record could not be found.","ist keine gültige E-Mail-Adresse, da kein aktiver DNS-Eintrag gefunden werden konnte.",,site/modules/FrontendForms/valitron/errormessages.php,e16866d3a2aeb2dd82f0ac06e67abf99
"is not a valid URL.","ist keine gültige URL.",,site/modules/FrontendForms/valitron/errormessages.php,9c5e4caaddc4981285aef0c974929410
"must be an active domain.","muss eine aktive Domäne sein.",,site/modules/FrontendForms/valitron/errormessages.php,405af4194051a23541c1e05ee21d5fde
"must contain only letters a-z.","darf nur Buchstaben enthalten.",,site/modules/FrontendForms/valitron/errormessages.php,6fa45c5bcf153f480b9281dd1869a75c
"must contain only letters a-z and/or numbers 0-9.","darf nur Buchstaben und/oder die Ziffern 0-9 enthalten.",,site/modules/FrontendForms/valitron/errormessages.php,4c2a73271ed51ceba27bb5d6a19bad5e
"must contain only letters a-z, numbers 0-9, dashes and underscores.","darf nur die Buchstaben, Ziffern von 0-9, Bindestriche und Unterstriche enthalten.",,site/modules/FrontendForms/valitron/errormessages.php,8f4e0f444527dd742530675c121c03d5
"contains invalid characters.","enthält ungültige Zeichen.",,site/modules/FrontendForms/valitron/errormessages.php,e58b6d2840b3789206a02fbde99a0b8e
"is not a valid date.","ist kein gültiges Datum.",,site/modules/FrontendForms/valitron/errormessages.php,38ec50423094dafeb375e91cdd2465db
"must be a date in the format %s.","muss ein Datum im Format %s sein.",,site/modules/FrontendForms/valitron/errormessages.php,ab2918e64139bf4338d017157fd502bb
"must be a date before %s.","muss ein Datum vor %s sein.",,site/modules/FrontendForms/valitron/errormessages.php,d8a0511946c3db07a440988df95a5886
"must be a date after %s.","muss ein Datum nach %s sein.",,site/modules/FrontendForms/valitron/errormessages.php,df46f2ba544e38477259e7543ae35656
"must contain %s.","muss %s enthalten.",,site/modules/FrontendForms/valitron/errormessages.php,ca2cf8d958faf269597e9ed8a17f2e8a
"must be a boolean.","muss ein Wahrheitswert sein.",,site/modules/FrontendForms/valitron/errormessages.php,4776fea62d0eb6aad4b7b407f94577f7
"must be between %s and %s characters.","muss zwischen %s und %s Zeichen lang sein.",,site/modules/FrontendForms/valitron/errormessages.php,496a6f57f86df1a3dca456809557ce2d
"must be a valid credit card number.","muss eine gültige Kreditkartennummer sein.",,site/modules/FrontendForms/valitron/errormessages.php,da8c3186551908c612175e3fd131008c
"must be at least %s characters long.","muss mindestens %s Zeichen lang sein.",,site/modules/FrontendForms/valitron/errormessages.php,e182229cb2673058e47817337b731535
"must not exceed %s characters.","darf %s Zeichen nicht überschreiten.",,site/modules/FrontendForms/valitron/errormessages.php,0469824161acd62b71bbb34072cb7bcb
"must be an instance of %s.","muss eine Instanz von %s sein.",,site/modules/FrontendForms/valitron/errormessages.php,f5af264fb5c442dc9766f1984f2d8692
"must contain unique elements only.","darf nur einzigartige Elemente enthalten.",,site/modules/FrontendForms/valitron/errormessages.php,76117bca0e24c5caf8645279712c42a6
"contains an item that is not in the list.","enthält ein Element, welches nicht in der Liste enthalten ist.",,site/modules/FrontendForms/valitron/errormessages.php,3fb8919799ddfdba930fbb44f484fbd1
"does not contain all required keys.","enthält nicht alle erforderlichen Schlüssel.",,site/modules/FrontendForms/valitron/errormessages.php,3f27bc263791779a69e946f06e55bf8d
"Even string captcha","Jedes zweite Zeichen Captcha",,site/modules/FrontendForms/Formelements/Captcha/variants/EvenCharacterTextCaptcha.php,07919a26035f7d7aaec32087cc2c0b4d
"Enter every second character of the text from the image in the input field.","Geben Sie jedes zweite Zeichen vom Text aus dem Bild in das Eingabefeld ein.",,site/modules/FrontendForms/Formelements/Captcha/variants/EvenCharacterTextCaptcha.php,923fb30f185465aa974330e30a9a97c7
"Upload multiple files","Laden Sie mehrere Dateien hoch",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/FileUploadMultiple.php,c837009ce96fdfc1615d310bc667f996
"Upload single file","Laden Sie eine Datei hoch",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/FileUploadSingle.php,e14f1d680e8b3d40bc2744468332eb46
"Please be patient... the form will be validated!","Bitte haben Sie etwas Geduld... Das Formular wird geprüft!",,site/modules/FrontendForms/Formelements/Form.php,e4e8a61a31a079875c2721207825142e
n/a,k.A.,,site/modules/FrontendForms/Formelements/Form.php,274b68192b056e268f128ff63bfcd4a4
Domain,=,,site/modules/FrontendForms/Formelements/Form.php,eae639a70006feff484a39363c977e24
"Visited page","Besuchte Seite",,site/modules/FrontendForms/Formelements/Form.php,1148d7bddfe056b3cc5a4fcf68227d19
IP,=,,site/modules/FrontendForms/Formelements/Form.php,a12a3079e14ced46e69ba52b8a90b21a
Date/time,Datum/Zeit,,site/modules/FrontendForms/Formelements/Form.php,b6e43da299780697382d42fc98d3959c
Time,Zeit,,site/modules/FrontendForms/Formelements/Form.php,a76d4ef5f3f6a672bbfab2865563e530
Date,Datum,,site/modules/FrontendForms/Formelements/Form.php,44749712dbec183e983dcd78a7736c41
Username,Benutzername,,site/modules/FrontendForms/Formelements/Form.php,f6039d44b29456b20f8f373155ae4973
Browser,=,,site/modules/FrontendForms/Formelements/Form.php,ef15fd2f45e6bb5ce57587895ba64f93
"This is an auto generated message, please do not reply.","Dies ist eine automatisch generierte Nachricht. Bitte antworten sie nicht darauf.",,site/modules/FrontendForms/Formelements/Form.php,665de5f0541888cc1c06e12ad167e513
"%s is not a valid IP address.","%s ist keine gültige IP-Adresse",,site/modules/FrontendForms/Formelements/Form.php,cae724dd18de0c8ca83d1e05bc546dbd
"All fields marked with (*) are mandatory and must be completed.","Alle Felder, welche mit (*) markiert sind, stellen Pflichtfelder dar und müssen in jeden Fall ausgefüllt werden.",,site/modules/FrontendForms/Formelements/Form.php,feaed8b52507d421a9953e0a9ec9a687
"Thank you for your message.","Vielen Dank für Ihre Nachricht.",,site/modules/FrontendForms/Formelements/Form.php,a0e0f33630289d49200c61cac7900200
"Sorry, some errors occur. Please check your inputs once more.","Es sind leider Fehler aufgetreten. Bitte überprüfen Sie Ihre Eingaben noch einmal.",,site/modules/FrontendForms/Formelements/Form.php,552663e8ba6eb0a7c5c16727f8d19bcc
Previous,zurück,,site/modules/FrontendForms/Formelements/Form.php,dd1f775e443ff3b9a89270713580a51b
Next,weiter,,site/modules/FrontendForms/Formelements/Form.php,10ac3d04253ef7e1ddc73e6091c0cd55
"The answer is wrong!","Die Antwort ist falsch!",,site/modules/FrontendForms/Formelements/Form.php,a3d9ae2d065e5a27c531a7dacd1735a4
"The Slider-Captcha was not solved correctly.","Das Slider-Captcha wurde nicht richtig gelöst.",,site/modules/FrontendForms/Formelements/Form.php,85b79eefe57522eeae18cd39fb97837a
"The CAPTCHA",CAPTCHA,,site/modules/FrontendForms/Formelements/Form.php,d057415baac33355d5a125df279bd512
attempts,Versuche,,site/modules/FrontendForms/Formelements/Form.php,79845fb11e473b1a0811ca2543f04b9c
