en,de,description,file,hash
"This chart indicates how many questions belong to a certain status.","Dieses Diagramm zeigt, wie viele Fragen einem bestimmten Status angehören.",,site/modules/FrontendForms/FrontendFormsManager.module,7a3466881a14c754ac4a48106c1b4bb5
"This chart shows how many questions are displayed on the frontend (active) or not (inactive).","Dieses Diagramm zeigt, wie viele Fragen im Frontend angezeigt werden (aktiv) oder nicht (inaktiv).",,site/modules/FrontendForms/FrontendFormsManager.module,b6d75d0a454edfb28a9c5c048cb20b16
"List of all questions for the simple question CAPTCHA","Liste aller Fragen für das einfache Frage CAPTCHA",,site/modules/FrontendForms/FrontendFormsManager.module,11da7aac15a18bb4d6307c26d44f4c6f
"List of temporarily blocked IPs","Liste der vorübergehend gesperrten IPs",,site/modules/FrontendForms/FrontendFormsManager.module,81ec4869bae32a704d654f175ed5e531
"Add a new question","Eine neue Frage hinzufügen",,site/modules/FrontendForms/FrontendFormsManager.module,b67f92900c8c7f5541224d8d14107249
Status,=,,site/modules/FrontendForms/FrontendFormsManager.module,ec53a8c4f07baed5d8825072c89799be
Visibility,Sichtbarkeit,,site/modules/FrontendForms/FrontendFormsManager.module,1729a56cfc89021478498fe0c89a843a
total,gesamt,,site/modules/FrontendForms/FrontendFormsManager.module,fbb44b4487415b134bce9c790a27fe5e
published,veröffentlicht,,site/modules/FrontendForms/FrontendFormsManager.module,8f888fedf6bd5ff7c93c6d76bb8dc21c
unpublished,unveröffentlicht,,site/modules/FrontendForms/FrontendFormsManager.module,3ebd43fb0ca85e5d4aae6b6f19703a39
hidden,versteckt,,site/modules/FrontendForms/FrontendFormsManager.module,662f707d5491e9bce8238a6c0be92190
locked,gesperrt,,site/modules/FrontendForms/FrontendFormsManager.module,4cef2f30ac7d33419d00c1d93a090095
"Number of questions","Anzahl der Fragen",,site/modules/FrontendForms/FrontendFormsManager.module,41f480750b7d85340eee17c9c4c86d76
"Status types","Status Typen",,site/modules/FrontendForms/FrontendFormsManager.module,5d99646dc04ed596b3a8e3d5f0850221
"Number of question per status and total","Anzahl der Fragen pro Status und gesamt",,site/modules/FrontendForms/FrontendFormsManager.module,15d92a0b27416a4cf0353a2fc9ab47c0
active,aktiv,,site/modules/FrontendForms/FrontendFormsManager.module,c76a5e84e4bdee527e274ea30c680d79
inactive,inaktiv,,site/modules/FrontendForms/FrontendFormsManager.module,19d3894f53ce79c3f836f26cf8a3be3b
"Visibility types",Sichtbarkeits-Arten,,site/modules/FrontendForms/FrontendFormsManager.module,030d05d170cb366307d5429bba5565f9
